통계연도,시도명,시군구명,노령화지수(퍼센트),고령인구(65세 이상),유소년(14세 이하),총인구수(명)
2017,서울특별시,종로구,180.6,26030,14416,154770
2017,서울특별시,중구,187.1,21148,11306,125709
2017,서울특별시,용산구,157.5,36488,23174,229161
2017,서울특별시,성동구,122.0,41152,33732,304808
2017,서울특별시,광진구,116.9,43790,37469,357703
2017,서울특별시,동대문구,155.9,55547,35637,350647
2017,서울특별시,중랑구,142.1,59189,41660,408226
2017,서울특별시,성북구,126.3,66121,52354,444055
2017,서울특별시,강북구,177.9,56437,31728,324479
2017,서울특별시,도봉구,144.9,53445,36873,344166
2017,서울특별시,노원구,108.6,74178,68323,554403
2017,서울특별시,은평구,135.2,74400,55045,486794
2017,서울특별시,서대문구,146.7,48898,33339,312800
2017,서울특별시,마포구,113.3,49356,43580,374915
2017,서울특별시,양천구,88.8,55136,62121,471154
2017,서울특별시,강서구,105.1,75845,72181,601691
2017,서울특별시,구로구,118.2,58213,49240,410742
2017,서울특별시,금천구,146.6,33842,23079,235154
2017,서울특별시,영등포구,135.3,53299,39406,368550
2017,서울특별시,동작구,132.1,57071,43210,396217
2017,서울특별시,관악구,158.1,69729,44110,503297
2017,서울특별시,서초구,85.6,53119,62043,441102
2017,서울특별시,강남구,94.7,64946,68591,556164
2017,서울특별시,송파구,90.2,76442,84755,664496
2017,서울특별시,강동구,108.1,56080,51894,436223
2017,부산광역시,중구,344.1,10082,2930,44218
2017,부산광역시,서구,262.7,24462,9311,110039
2017,부산광역시,동구,313.6,21076,6721,88868
2017,부산광역시,영도구,272.5,28293,10384,123521
2017,부산광역시,부산진구,168.5,62942,37361,371703
2017,부산광역시,동래구,134.6,42697,31724,270727
2017,부산광역시,남구,157.1,47964,30535,273854
2017,부산광역시,북구,118.0,41000,34748,302924
2017,부산광역시,해운대구,117.3,59949,51127,412039
2017,부산광역시,사하구,132.9,50261,37806,333301
2017,부산광역시,금정구,173.9,42011,24153,244469
2017,부산광역시,강서구,59.2,13205,22311,117382
2017,부산광역시,연제구,142.5,33600,23585,206742
2017,부산광역시,수영구,187.5,32621,17399,179996
2017,부산광역시,사상구,139.0,32715,23536,229219
2017,부산광역시,기장군,79.9,22649,28357,161651
2017,대구광역시,중구,191.9,15531,8092,78986
2017,대구광역시,동구,138.1,58893,42638,349379
2017,대구광역시,서구,219.9,34758,15809,191992
2017,대구광역시,남구,241.8,31132,12875,152845
2017,대구광역시,북구,90.4,54257,59993,441375
2017,대구광역시,수성구,99.6,58905,59156,439211
2017,대구광역시,달서구,89.1,67033,75196,578068
2017,대구광역시,달성군,66.9,26950,40258,243375
2017,인천광역시,중구,99.9,16643,16668,117999
2017,인천광역시,동구,159.1,13168,8276,69487
2017,인천광역시,남구,125.3,60758,48506,419267
2017,인천광역시,연수구,55.2,28922,52373,335142
2017,인천광역시,남동구,77.2,58429,75676,536578
2017,인천광역시,부평구,97.1,63959,65884,539941
2017,인천광역시,계양구,81.1,31729,39124,323784
2017,인천광역시,서구,57.1,46129,80788,516017
2017,인천광역시,강화군,348.7,20451,5865,68754
2017,인천광역시,옹진군,267.8,4836,1806,21573
